,S_1_ID,S_1_area_cor,S_1_area_org,S_1_lake,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
0,3000014,248639230.66779003,248639230.66779026,0,1,51.04131279780751,-110.42833531284451,1,248639230.66779003,1,50.875,249.375,554,489385021.72833663,554,4274559.738424567,0.017191815333984277,0.008734553671725214,0.017191815333984277,0.008749366805023393
1,3000014,248639230.66779003,248639230.66779026,0,1,51.04131279780751,-110.42833531284451,1,248639230.66779003,1,50.875,249.625,555,489385021.7283366,555,53180783.02146162,0.21388733740299062,0.108668595605247,0.21388733740299062,0.16613480920897433
3,3000014,248639230.66779003,248639230.66779026,0,1,51.04131279780751,-110.42833531284451,1,248639230.66779003,1,51.125,249.625,603,486783099.29954004,603,161797972.25094858,0.6507338838541086,0.33238206602441395,0.6507338838541086,0.37495806098677215
2,3000014,248639230.66779003,248639230.66779026,0,1,51.04131279780751,-110.42833531284451,1,248639230.66779003,1,51.125,249.375,602,486783099.29954004,602,29385915.656955235,0.11818696340891645,0.060367575824305124,0.11818696340891645,0.0707320423702915
6,3000053,244418686.90047356,246013685.15562975,0,2,50.91697955905045,-106.78985905734245,2,244418686.90047356,2,51.125,253.125,617,486783099.29954004,617,8256283.373767646,0.03377926409174097,0.016960908021761815,0.03377926409174096,0.016960908020168048
5,3000053,244418686.90047356,246013685.15562975,0,2,50.91697955905045,-106.78985905734245,2,244418686.90047356,2,50.875,253.125,569,489385021.72833663,569,173293215.11734736,0.7090014978597432,0.3541040436941375,0.7090014978597429,0.40690334714054344
4,3000053,244418686.90047356,246013685.15562975,0,2,50.91697955905045,-106.78985905734245,2,244418686.90047356,2,50.875,253.375,570,489385021.7282988,570,59951817.11429869,0.24528327958291854,0.12250439725877692,0.24528327958291843,0.19223926771860614
7,3000053,244418686.90047356,246013685.15562975,0,2,50.91697955905045,-106.78985905734245,2,244418686.90047356,2,51.125,253.375,618,486783099.29950243,618,2917371.2950599813,0.011935958465597701,0.005993164715985782,0.011935958465597696,0.006674450869133662
9,3000185,251226212.50170946,251226212.50170594,0,3,52.12515774758189,-114.38324615224965,3,251226212.50170946,3,52.125,245.625,779,476279682.92013264,779,202845275.08730876,0.8074208223233414,0.42589529295820056,0.8074208223233397,0.4258952929582003
10,3000185,251226212.50170946,251226212.50170594,0,3,52.12515774758189,-114.38324615224965,3,251226212.50170946,3,52.125,245.875,780,476279682.9200959,780,11701415.169097431,0.046577206464941664,0.024568369360950765,0.04657720646494156,0.024568369360950765
8,3000185,251226212.50170946,251226212.50170594,0,3,52.12515774758189,-114.38324615224965,3,251226212.50170946,3,52.125,245.375,778,476279682.92013264,778,36679522.24530383,0.14600197121171918,0.07701256963223145,0.14600197121171885,0.0771967575555261
