AH4_LAKE_ID,GRAND_ID,Hylak_id,GLWD_ID,CTR_LONWGS84,CTR_LATWGS84,WATERBODY_DAM_BRANCH,TYPE,AREA,EL_SPL,EL_LIM,EL_MIN,EL_ZERO,OPS_AMP,OPS_PHA,OPS_MEAN,SPL_COEFF,SPL_EXP,BR_FRAC,BR_MX_MAIN,BR_MN_MAIN,BR_MX_BR,BR_DEST_LONWGS84,BR_DEST_LATWGS84,SOURCE,SOURCE_ELEVS,SOURCE_OPS,SOURCE_SPILL,SOURCE_BRAN
100070,0,0,285,-90.682648,51.080182,St Joseph - REG_Rat Portage - BR_Albany-to-Nelson,Reservoir,594809508,373,372.32,372.09,363,0.2,92,99.3,300,3.5,0.25,1000000,0,0,-91.6796,50.7273,1,RATv1 RegData,RATv1 RegData,RATv1 RegData,HHYPEv3 DamData
108654,6,40,0,-122.447942,56.141003,Williston - REG_WAC Bennett,Reservoir,1632642802,695,688.46,686.28,681.6,0.67,80,1050,92,1.75,0,0,0,0,0,0,2,RATv1 RegData,RATv1 RegData,RATv1 RegData,*NONE*
108686,710,0,0,-103.589731,53.492517,Tobin - REG_EB Campbell,Reservoir,254384462,314,313.78,313.71,297.4,0.44,305,450.2,5000,1.5,0,0,0,0,0,0,2,RATv1 RegData,RATv1 RegData,RATv1 RegData,*NONE*
108691,717,0,0,-95.687607,50.363955,Du Bonnet - REG_McArthur,Reservoir,111230206,301,300.29,300.05,284.4,0.17,122,958.4,1450,0.75,0,0,0,0,0,0,2,RATv1 RegData,RATv1 RegData,RATv1 RegData,*NONE*
108661,249,0,0,-116.383875,52.145773,Abraham - REG_Big Horn,Reservoir,48448725,1319,1300.99,1294.98,1278.74,0.25,305,79.3,125,0.25,0,0,0,0,0,0,2,RATv1 RegData,RATv1 RegData,RATv1 RegData,*NONE*
108694,725,0,0,-103.383595,49.193602,Rafferty - REG_Boundary ,Reservoir,35303412,550,549.47,549.3,512.02,1,214,2.5,36.4,1.75,0,0,0,0,0,0,2,RATv1 RegData,RATv1 RegData,RATv1 RegData,*NONE*
108674,278,0,0,-114.278338,49.637657,Oldman - REG_Oldman,Reservoir,19279911,1118,1114.61,1113.48,1093.47,2.1,275,35.8,250,1.75,0,0,0,0,0,0,2,RATv1 RegData,RATv1 RegData,RATv1 RegData,*NONE*
108794,5056,0,0,92.354912,55.751901,Krasnoyarskoye - REG_Krasnoyarsk,Reservoir,1635881090,239,231.92,229.56,189.5,0.24,214,2655.5,910.1,2.856,0,0,0,0,0,0,3,RATv1 RegData,RATv1 RegData,AHYPEv4 LakeData,*NONE*
108797,5180,0,0,112.493008,63.028595,Vilyuyskoye - REG_Vilyui,Reservoir,1534039213,245,241.23,239.97,218.4,0.62,45,646.8,47,1.292,0,0,0,0,0,0,3,RATv1 RegData,RATv1 RegData,AHYPEv4 LakeData,*NONE*
108789,4785,0,0,83.306365,54.774393,Novosibirskoye - REG_Novosibrisk,Reservoir,1049944881,114,112.15,111.54,105,0.77,336,1517,829,2.314,0,0,0,0,0,0,3,RATv1 RegData,RATv1 RegData,AHYPEv4 LakeData,*NONE*
