,AH4_LAKE_ID_x,GRAND_ID,Hylak_id_x,AH4_LAKE_ID_y,Hylak_id_y,GLWD_ID,CTR_LONWGS84,CTR_LATWGS84,WATERBODY_DAM_BRANCH,TYPE,AREA,EL_SPL,EL_LIM,EL_MIN,EL_ZERO,OPS_AMP,OPS_PHA,OPS_MEAN,SPL_COEFF,SPL_EXP,BR_FRAC,BR_MX_MAIN,BR_MN_MAIN,BR_MX_BR,BR_DEST_LONWGS84,BR_DEST_LATWGS84,SOURCE,SOURCE_ELEVS,SOURCE_OPS,SOURCE_SPILL,SOURCE_BRAN
0,108676,281,8108,108676,0,0,-113.283778,49.11589,St Mary - REG_St Mary,Reservoir,19902523,1090,1089.999,1089.998,1057.73,0.0,0,0.0,94.7,2.0,0.0,0,0,0,0.0,0.0,7,AHYPEv4 LakeData,*DEFAULT*,AHYPEv4 LakeData,*NONE*
1,108674,278,8051,108674,0,0,-114.278338,49.637657,Oldman - REG_Oldman,Reservoir,19279911,1118,1114.61,1113.48,1093.47,2.1,275,35.8,250.0,1.75,0.0,0,0,0,0.0,0.0,2,RATv1 RegData,RATv1 RegData,RATv1 RegData,*NONE*
2,108673,277,8000,108673,0,0,-112.245556,49.587884,Chin - REG_Chin Dam,Reservoir,13892703,852,851.999,851.998,821.74,0.0,0,0.0,69.0,2.0,0.0,0,0,0,0.0,0.0,7,AHYPEv4 LakeData,*DEFAULT*,AHYPEv4 LakeData,*NONE*
3,108672,275,7935,108672,0,0,-110.972463,49.789018,Sever Persons Creek  - REG_Murray,Reservoir,12050745,762,761.999,761.998,757.43,0.0,0,0.0,58.6,2.0,0.0,0,0,0,0.0,0.0,7,AHYPEv4 LakeData,*DEFAULT*,AHYPEv4 LakeData,*NONE*
4,108669,267,7867,108669,0,0,-112.983074,50.477891,Mcgregor - REG_North Dam,Reservoir,44460692,859,858.999,858.998,844.26,0.0,0,0.0,201.0,2.0,0.0,0,0,0,0.0,0.0,7,AHYPEv4 LakeData,*DEFAULT*,AHYPEv4 LakeData,*NONE*
5,108668,261,7668,108668,0,0,-112.439294,51.005271,Barkenhouse - REG_Crawling Valley,Reservoir,23257130,775,774.999,774.998,765.23,0.0,0,0.0,106.0,2.0,0.0,0,0,0,0.0,0.0,7,AHYPEv4 LakeData,*DEFAULT*,AHYPEv4 LakeData,*NONE*
6,108665,255,7658,108665,0,0,-115.523018,51.347262,Minnewanka - REG_Cascade,Reservoir,19554023,1479,1464.09,1459.12,1409.0,0.5,105,30.0,95.0,2.0,0.0,0,0,0,0.0,0.0,11,HHYPEv3 DamData,HHYPEv3 DamData,AHYPEv4 LakeData,*NONE*
7,108667,260,7558,108667,0,0,-115.427323,50.867799,Spray - REG_SprayCanyon,Reservoir,15288634,1692,1674.12,1668.16,1644.33,0.5,105,30.0,74.3,2.0,0.0,0,0,0,0.0,0.0,11,HHYPEv3 DamData,HHYPEv3 DamData,AHYPEv4 LakeData,*NONE*
8,108675,280,7547,108675,0,0,-112.565234,49.323419,Milk Ridge - REG_North Ridge,Reservoir,6425858,1029,1028.999,1028.998,1006.88,0.0,0,0.0,32.8,2.0,0.0,0,0,0,0.0,0.0,7,AHYPEv4 LakeData,*DEFAULT*,AHYPEv4 LakeData,*NONE*
9,108671,271,7363,108671,0,0,-108.136907,50.015133,Swift Curent Creek - REG_Duncairn,Reservoir,11135352,797,796.999,796.998,779.88,0.0,0,0.0,3.8,1.535,0.0,0,0,0,0.0,0.0,7,AHYPEv4 LakeData,*DEFAULT*,AHYPEv4 LakeData,*NONE*
10,108664,253,643,108664,0,0,-106.807487,51.142769,Diefenbaker - REG_Gardiner,Reservoir,377460552,557,554.01,553.02,529.17,0.45,61,200.2,115.0,1.2,0.0,0,0,0,0.0,0.0,5,RATv1 RegData,RATv1 RegData,HHYPEv3 DamData,*NONE*
