lakeId,RATEACV,RATEBCV,lake_Vol,H06_alpha,H06_envfact,H06_c1,H06_c2,H06_exponent,H06_denominator,H06_c_compare,H06_frac_Sdead,H06_I_mem_F,H06_D_mem_F,H06_I_mem_L,H06_D_mem_L,H06_Smax,H06_S_ini,H06_E_rel,H06_purpose,PFAF_res,inflow_Jan,inflow_Feb,inflow_Mar,inflow_Apr,inflow_May,inflow_Jun,inflow_Jul,inflow_Aug,inflow_Sep,inflow_Oct,inflow_Nov,inflow_Dec,H06_D_Jan,H06_D_Feb,H06_D_Mar,H06_D_Apr,H06_D_May,H06_D_Jun,H06_D_Jul,H06_D_Aug,H06_D_Sep,H06_D_Oct,H06_D_Nov,H06_D_Dec,lake_model
1591,0.0,1.5,1739.63,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
158,0.0,1.5,238000.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
158,0.0,1.5,238000.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1604,0.0,1.5,1638.57,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1591,0.0,1.5,1739.63,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1468,0.0,1.5,933.7,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1601,0.0,1.5,600.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1585,0.0,1.5,1824.34,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1575,0.0,1.5,8405.41,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1641,1.15740741e-07,1.5,570.76,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1553,1.15740741e-07,1.5,251.68,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1565,0.0,1.5,24509.55,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1598,1.15740741e-07,1.5,1043.7,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
1406,0.0,1.5,484.82,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1
