n,ID,Unnamed: 0,ID_next,length,area,slope
0,3000014.0,136829,3021928.0,347.8533777177569,248639230.66779023,0.037372067752489
1,3000053.0,136868,3044033.0,1175.8245994994293,246013685.15562972,0.0
2,3000185.0,137000,3032619.0,2228.680537574458,251226212.50170597,0.0
3,3000676.0,137491,3036507.0,4591.427833477882,254189657.6151121,0.003484754760456
4,3000687.0,137502,3039206.0,7084.688813396439,255146131.3958122,0.010162761117165
5,3000715.0,137530,3032149.0,1149.735549005631,253307102.33351436,0.00086976522633
6,3000907.0,137722,3043247.0,3780.900136232528,257707391.4476984,0.010050516710517
7,3001005.0,137820,3031758.0,3399.7073904153685,256183700.5165152,0.002059000730397
8,3001189.0,138004,3040698.0,7005.714781330731,259742201.51875323,0.012561173662751
9,3001274.0,138089,3040331.0,8505.38240471203,260005444.29581165,0.00458533175162
10,3001498.0,138313,3040487.0,1837.382626883049,261597239.97063267,0.022858602985296
11,3001903.0,138718,3026664.0,7947.084864290471,266812536.7140915,0.011450739680521
12,3002007.0,138822,3044075.0,8536.946423954967,270937872.84322435,0.000702827416506
13,3002031.0,138846,3031252.0,6481.648429297745,269086411.8619493,0.002159944364881
14,3002056.0,138871,3032701.0,7841.609738047348,270849505.66405326,0.003953269932523
15,3002615.0,139430,3026210.0,7205.520276914629,278876169.5027696,0.007216689149651
16,3002734.0,139549,3034563.0,10632.85660895902,278097849.2822148,0.008370281221042
17,3003025.0,139840,3044071.0,12120.552215106776,281120802.63855684,0.002970161702297
18,3003294.0,140109,3034137.0,9368.576438672962,282950550.44280064,0.003095454276307
19,3003601.0,140416,3033267.0,9794.10088153228,287541854.68159914,0.002858863752649
20,3003705.0,140520,3024738.0,10086.16929271334,288020044.42078555,0.000594874012707
21,3003771.0,140586,3041703.0,13297.94942488492,289705345.3565412,0.00451197384521
22,3003895.0,140710,3023867.0,5145.5948319141,293047260.8639891,0.001360386938471
23,3003953.0,140768,3036151.0,15229.398512398766,292194345.78947425,0.006828897406246
24,3004117.0,140932,3029175.0,9225.31912425229,297191162.6556958,0.005961853379729
25,3004193.0,141008,3040051.0,2969.143706166929,297255616.590166,0.00943032832727
26,3004270.0,141085,3029271.0,10060.487334907675,297240550.70149875,0.00278316537439
27,3004662.0,141477,3043955.0,16478.86847543519,305686128.05575,0.005886326488047
28,3004739.0,141554,3030854.0,19499.549416737445,303637559.0604089,0.011846427579589
29,3004747.0,141562,3019668.0,12604.375752322478,305967892.7345439,0.006188327096297
30,3004802.0,141617,3021528.0,11737.190014121124,303945656.7513933,0.001703985364124
31,3004929.0,141744,3029895.0,4974.785209696512,305194275.8429868,0.015277041479473
32,3005193.0,142008,3025816.0,10597.421110552948,311423225.7944444,0.008492632222605
33,3005337.0,142152,3039362.0,14662.640682152653,315585715.3497514,0.002659821027154
34,3005626.0,142441,3019668.0,19820.601002292027,318977473.64869475,0.006357022170288
35,3005657.0,142472,3043965.0,5590.680040380366,321169243.4995391,0.017350304309921
36,3005692.0,142507,3029043.0,7678.220853330424,320301404.385487,0.004037393634823
37,3005839.0,142654,3025858.0,5167.285169232828,322988212.15866846,0.004064029623339
38,3005921.0,142736,3032033.0,10001.41793496857,324425098.6896056,0.001499787339909
39,3005939.0,142754,3023314.0,24169.180921772888,324468514.61615705,0.002358375328667
40,3005979.0,142794,3039087.0,17576.455802965826,323218623.3714801,0.003356763198531
41,3006402.0,143217,3032466.0,12707.03570532179,331533176.0011801,0.005587455772259
42,3006495.0,143310,3020441.0,15159.857340904966,330426590.2354364,0.001912946761164
43,3006794.0,143609,3041065.0,9902.839494218442,337965972.39738345,0.002726490721753
44,3006967.0,143782,3023867.0,16080.500771034394,339586153.44517493,0.00478840809104
45,3007073.0,143888,3029445.0,22967.498896298115,342899762.8837288,0.001349733383681
46,3007295.0,144110,3022411.0,14243.940214005226,346071996.5196901,0.007301350499754
47,3007727.0,144542,3041657.0,35134.778181505564,351058934.6312153,0.002590026313241
48,3007808.0,144623,3022411.0,17776.719971189385,355941092.07105803,0.007312935131492
49,3007854.0,144669,3042589.0,13954.52241285454,357312525.85873675,0.004944633571726
50,3007870.0,144685,3034661.0,3815.1812750871886,352549501.59346056,0.004455882636825
51,3008208.0,145023,3021795.0,25407.803745717807,359874464.78482544,0.001653035438259
52,3008431.0,145246,3026210.0,19935.97819296945,368006247.8679208,0.003310597521785
