,S_1_hruid,S_1_PFAF,S_1_area_org,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
245,3000014,3426122,248639230.66779026,3000014,51.04131279780751,-110.42833531284451,48,248639230.66779003,48,50.875,249.625,555,489385021.7283366,555,53180783.02146162,0.21388733740299062,0.108668595605247,0.21388733740299065,0.16613480920897433
247,3000014,3426122,248639230.66779026,3000014,51.04131279780751,-110.42833531284451,48,248639230.66779003,48,51.125,249.625,603,486783099.29954004,603,161797972.25094858,0.6507338838541086,0.33238206602441395,0.6507338838541087,0.3749580609867721
244,3000014,3426122,248639230.66779026,3000014,51.04131279780751,-110.42833531284451,48,248639230.66779003,48,50.875,249.375,554,489385021.72833663,554,4274559.738424567,0.017191815333984277,0.008734553671725214,0.01719181533398428,0.008749366805023393
246,3000014,3426122,248639230.66779026,3000014,51.04131279780751,-110.42833531284451,48,248639230.66779003,48,51.125,249.375,602,486783099.29954004,602,29385915.656955235,0.11818696340891645,0.060367575824305124,0.11818696340891646,0.0707320423702915
100,3000053,3425572,246013685.15562975,3000053,50.91768350844765,-106.78983765432376,20,246013685.1556279,20,51.125,253.125,617,486783099.29954004,617,9851281.628921952,0.040043632624299115,0.020237517783788146,0.04004363262429911,0.020237517783788163
98,3000053,3425572,246013685.15562975,3000053,50.91768350844765,-106.78983765432376,20,246013685.1556279,20,50.875,253.375,570,489385021.7282988,570,59951817.11429869,0.243693016818854,0.12250439725877692,0.24369301681885394,0.1922392677186062
99,3000053,3425572,246013685.15562975,3000053,50.91768350844765,-106.78983765432376,20,246013685.1556279,20,50.875,253.125,569,489385021.72833663,569,173293215.11734736,0.7044047773509929,0.3541040436941375,0.7044047773509928,0.40690334714054366
101,3000053,3425572,246013685.15562975,3000053,50.91768350844765,-106.78983765432376,20,246013685.1556279,20,51.125,253.375,618,486783099.29950243,618,2917371.2950599813,0.011858573205854204,0.005993164715985782,0.0118585732058542,0.0066744508668395335
663,3000185,342662,251226212.50170594,3000185,52.12515774758189,-114.38324615224965,120,251226212.50170946,120,52.125,245.375,778,476279682.92013264,778,36679522.24530383,0.14600197121171918,0.07701256963223145,0.14600197121171885,0.0771967575555261
664,3000185,342662,251226212.50170594,3000185,52.12515774758189,-114.38324615224965,120,251226212.50170946,120,52.125,245.625,779,476279682.92013264,779,202845275.08730876,0.8074208223233414,0.42589529295820056,0.8074208223233397,0.4258952929582003
665,3000185,342662,251226212.50170594,3000185,52.12515774758189,-114.38324615224965,120,251226212.50170946,120,52.125,245.875,780,476279682.9200959,780,11701415.169097431,0.046577206464941664,0.024568369360950765,0.04657720646494156,0.024568369360950765
1539,3000676,3429912,254189657.6151121,3000676,49.52055598637653,-113.67756857816629,268,254189657.6151152,268,49.375,246.375,254,504791911.0653109,254,46300665.745584786,0.18215007715102077,0.09172228146023981,0.18215007715102075,0.09172228146023977
1541,3000676,3429912,254189657.6151121,3000676,49.52055598637653,-113.67756857816629,268,254189657.6151152,268,49.625,246.125,301,502248690.66659164,301,18047093.319807153,0.07099853506680988,0.035932584106600246,0.07099853506680986,0.03593258410660024
1540,3000676,3429912,254189657.6151121,3000676,49.52055598637653,-113.67756857816629,268,254189657.6151152,268,49.625,246.375,302,502248690.66659164,302,154228748.2986558,0.6067467486508967,0.30707645667320943,0.6067467486508966,0.3070764566732095
1538,3000676,3429912,254189657.6151121,3000676,49.52055598637653,-113.67756857816629,268,254189657.6151152,268,49.375,246.125,253,504791911.0653109,253,35613150.25106751,0.14010463913127283,0.07055016031439501,0.1401046391312728,0.070550160314395
650,3000687,3426594,255146131.3958122,3000687,52.32313846097978,-114.10671299922755,117,255146131.39580983,117,52.375,245.625,827,473630135.82255274,827,13518586.545240292,0.05298370181544639,0.028542496608165744,0.05298370181544649,0.02854249660816575
649,3000687,3426594,255146131.3958122,3000687,52.32313846097978,-114.10671299922755,117,255146131.39580983,117,52.375,245.875,828,473630135.82251614,828,197491393.49317074,0.7740324825337096,0.4169738759342308,0.774032482533711,0.41697387593423085
648,3000687,3426594,255146131.3958122,3000687,52.32313846097978,-114.10671299922755,117,255146131.39580983,117,52.375,246.125,829,473630135.82255274,829,38024378.49524918,0.14902980612416858,0.08028285284088248,0.14902980612416886,0.10519008656366727
645,3000687,3426594,255146131.3958122,3000687,52.32313846097978,-114.10671299922755,117,255146131.39580983,117,52.125,246.125,781,476279682.92013264,781,3298704.366415095,0.012928686585875739,0.006925981696700371,0.012928686585875763,0.006925981696700367
647,3000687,3426594,255146131.3958122,3000687,52.32313846097978,-114.10671299922755,117,255146131.39580983,117,52.125,245.875,780,476279682.9200959,780,2813068.495734033,0.011025322940797805,0.005906337382453439,0.011025322940797826,0.005906337382453439
882,3000715,342746,253307102.33351433,3000715,49.784823146084655,-111.16595550893086,153,253307102.3335147,153,49.875,248.625,359,499695571.0230118,359,27355547.54668654,0.10799360655379132,0.05474442667298881,0.10799360655379135,0.05544637747101899
880,3000715,342746,253307102.33351433,3000715,49.784823146084655,-111.16595550893086,153,253307102.3335147,153,49.625,248.625,311,502248690.6665529,311,829452.9242185368,0.003274495332256592,0.0016514785197702339,0.003274495332256593,0.0016514785197702343
883,3000715,342746,253307102.33351433,3000715,49.784823146084655,-111.16595550893086,153,253307102.3335147,153,49.875,248.875,360,499695571.02305037,360,169840257.61638895,0.6704914945210269,0.33988745841526463,0.670491494521027,0.33988745841526435
881,3000715,342746,253307102.33351433,3000715,49.784823146084655,-111.16595550893086,153,253307102.3335147,153,49.625,248.875,312,502248690.66659164,312,55281844.24622061,0.21824040359292504,0.11006866772086504,0.2182404035929251,0.11006866772086495
829,3000907,34272,257707391.4476984,3000907,50.32423189528404,-110.34968543660288,144,257707391.44769973,144,50.375,249.375,458,494559817.85668886,458,22004.8917165492,8.538711906140639e-05,4.4493893199640555e-05,8.538711906140643e-05,6.998341061650477e-05
831,3000907,34272,257707391.4476984,3000907,50.32423189528404,-110.34968543660288,144,257707391.44769973,144,50.375,249.875,460,494559817.8566507,460,25967231.645410873,0.10076246358141722,0.05250574492272547,0.10076246358141726,0.3776544329672432
830,3000907,34272,257707391.4476984,3000907,50.32423189528404,-110.34968543660288,144,257707391.44769973,144,50.375,249.625,459,494559817.8566889,459,231718154.9105722,0.899152149299521,0.4685341318564589,0.8991521492995215,0.49050711659759816
1506,3001005,342982,256183700.51651517,3001005,49.84519805518127,-113.69804069177424,261,256183700.51650408,261,49.875,246.375,350,499695571.02305037,350,192506222.03473246,0.7514382126833657,0.38524700477253654,0.7514382126833657,0.38524700477253665
1505,3001005,342982,256183700.51651517,3001005,49.84519805518127,-113.69804069177424,261,256183700.51650408,261,49.875,246.125,349,499695571.02305037,349,63677478.48177162,0.24856178731663428,0.127432545282324,0.24856178731663428,0.12743254528232398
555,3001189,3426552,259742201.51875323,3001189,52.00434988564403,-113.13069119287839,97,259742201.51875037,97,52.125,246.625,783,476279682.9200958,783,6902490.195584854,0.026574388586933475,0.014492514468106898,0.02657438858693344,0.014492514468106892
553,3001189,3426552,259742201.51875323,3001189,52.00434988564403,-113.13069119287839,97,259742201.51875037,97,52.125,246.875,784,476279682.92013264,784,124155495.21033496,0.47799508314159095,0.260677706109825,0.47799508314159034,0.26067770610982505
551,3001189,3426552,259742201.51875323,3001189,52.00434988564403,-113.13069119287839,97,259742201.51875037,97,51.875,246.875,736,478919800.79149055,736,128200555.20440713,0.49356844769467517,0.2676868966213873,0.4935684476946745,0.2676868966213873
552,3001189,3426552,259742201.51875323,3001189,52.00434988564403,-113.13069119287839,97,259742201.51875037,97,51.875,247.125,737,478919800.7914906,737,483660.90842378774,0.0018620805768017371,0.0010098995857437125,0.0018620805768017347,0.0014638408185325084
1016,3001274,342856,260005444.29581165,3001274,50.97805352388786,-113.29689985428134,173,260005444.29581213,173,50.875,246.625,543,489385021.7282988,543,94677234.83602713,0.36413558605454205,0.193461652139797,0.36413558605454255,0.19346165213979707
1018,3001274,342856,260005444.29581165,3001274,50.97805352388786,-113.29689985428134,173,260005444.29581213,173,51.125,246.875,592,486783099.29954004,592,1762330.973935063,0.006778054123859162,0.0036203618746644688,0.006778054123859171,0.0036203618746644705
